,Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
0,M250Y,3.1,Config 2,Baseline,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,2.0,1.5,13.5,87.0,4.07,1.49,21.8,0.1055,411.0,302.0,0.67,2.7,10.0,0.64,Tsai,,
1,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.5,13.1,91.0,3.98,1.47,21.6,0.102,410.0,286.0,0.8,6.4,45.0,1.51,Tsai,,
2,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.5,12.1,98.0,3.7,1.42,20.8,0.1009,410.0,282.0,0.84,12.54,146.0,2.96,Tsai,,
3,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,18.0,1.5,11.7,108.0,3.6,1.4,20.6,0.1007,409.0,279.0,0.88,18.46,284.0,4.35,Tsai,,
4,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,1.5,11.3,124.0,3.52,1.39,20.3,0.0997,409.0,276.0,0.91,24.34,457.0,5.74,Tsai,,
5,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,1.5,11.0,324.0,3.44,1.37,20.1,0.0974,408.0,268.0,0.99,35.79,891.0,8.44,Tsai,,
6,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,1.0,10.2,39.0,3.27,1.33,19.6,0.0951,408.0,273.0,0.66,2.6,11.0,0.61,Tsai,,
7,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.0,10.0,41.0,3.21,1.32,19.4,0.0928,408.0,250.0,0.81,5.88,45.0,1.38,Tsai,,
8,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.0,9.6,44.0,3.13,1.3,19.2,0.0928,407.0,242.0,0.87,11.53,141.0,2.72,Tsai,,
9,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,18.0,1.0,9.4,50.0,3.09,1.29,19.1,0.0927,407.0,239.0,0.89,17.24,278.0,4.06,Tsai,,
10,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,1.0,9.2,59.0,3.06,1.29,19.0,0.0922,407.0,234.0,0.93,22.81,447.0,5.38,Tsai,,
11,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,1.0,9.1,131.0,3.03,1.28,18.9,0.0917,406.0,228.0,0.97,34.01,875.0,8.02,Tsai,,
12,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,1.0,9.0,334.0,3.01,1.27,18.8,0.0908,406.0,222.0,1.03,45.15,1412.0,10.64,Tsai,,
