,Packing Type,Height,specific area,void fraction,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
772,RSR 0.5,2.79,250,0.97,6.1,0.59,18.7,,5.71,1.75,25.6,0.11,404,191,0.61,,,,Wang,,
773,RSR 0.5,2.79,250,0.97,12.2,0.59,18.6,,5.67,1.74,25.5,0.11,404,160,0.76,,,,Wang,,
774,RSR 0.5,2.79,250,0.97,24.5,0.59,18.9,,5.8,1.76,25.7,0.11,404,142,0.85,,,,Wang,,
775,RSR 0.5,2.79,250,0.97,36.7,0.59,19.1,,5.85,1.77,25.9,0.11,404,136,0.88,,,,Wang,,
776,RSR 0.5,2.79,250,0.97,48.9,0.59,19.2,,5.9,1.77,25.9,0.11,404,135,0.89,,,,Wang,,
777,RSR 0.5,2.79,250,0.97,61.1,0.59,20.1,,6.24,1.82,26.6,0.11,404,127,0.93,,,,Wang,,
778,RSR 0.5,2.79,250,0.97,73.4,0.6,19.7,,6.08,1.8,26.3,0.11,404,120,0.99,,,,Wang,,
779,RSR 0.5,2.79,250,0.97,6.1,0.99,23.2,,7.61,1.97,29.1,0.11,400,239,0.63,,,,Wang,,
780,RSR 0.5,2.79,250,0.97,12.2,0.99,22.6,,7.34,1.94,28.7,0.11,400,212,0.79,,,,Wang,,
781,RSR 0.5,2.79,250,0.97,24.4,0.99,22.3,,7.19,1.92,28.4,0.11,400,198,0.88,,,,Wang,,
782,RSR 0.5,2.79,250,0.97,36.6,0.99,22,,7.05,1.91,28.2,0.11,400,190,0.94,,,,Wang,,
783,RSR 0.5,2.79,250,0.97,48.9,0.99,21.6,,6.88,1.89,27.8,0.11,400,186,0.97,,,,Wang,,
784,RSR 0.5,2.79,250,0.97,61.1,0.99,21.3,,6.76,1.88,27.6,0.11,400,177,1.04,,,,Wang,,
785,RSR 0.5,2.79,250,0.97,6.1,1.48,17,,5.13,1.67,24.3,0.11,406,296,0.67,,,,Wang,,
786,RSR 0.5,2.79,250,0.97,12.2,1.48,16.6,,4.97,1.65,24,0.11,406,274,0.84,,,,Wang,,
787,RSR 0.5,2.79,250,0.97,24.5,1.48,16.1,,4.81,1.63,23.6,0.11,406,260,0.96,,,,Wang,,
788,RSR 0.5,2.79,250,0.97,36.7,1.49,16.1,,4.81,1.63,23.6,0.11,406,249,1.06,,,,Wang,,
789,RSR 0.5,2.79,250,0.97,24.5,1.65,16,,4.8,1.63,23.6,0.1,406,268,1.01,,,,Wang,,
790,RSR 0.7,2.91,180,0.98,6.1,0.59,27.2,,9.67,2.19,32.4,0.1,401,167,0.88,,,,Wang,,
791,RSR 0.7,2.91,180,0.98,12.2,0.59,27.1,,9.64,2.19,32.4,0.1,401,149,1,,,,Wang,,
792,RSR 0.7,2.91,180,0.98,24.4,0.59,27,,9.57,2.18,32.3,0.1,401,136,1.1,,,,Wang,,
793,RSR 0.7,2.91,180,0.98,36.7,0.59,27.1,,9.62,2.19,32.3,0.1,401,129,1.15,,,,Wang,,
794,RSR 0.7,2.91,180,0.98,48.9,0.59,27,,9.56,2.18,32.2,0.1,401,124,1.2,,,,Wang,,
795,RSR 0.7,2.91,180,0.98,61.1,0.59,27,,9.57,2.19,32.3,0.1,401,119,1.25,,,,Wang,,
796,RSR 0.7,2.91,180,0.98,73.3,0.59,27.1,,9.59,2.19,32.3,0.1,401,115,1.29,,,,Wang,,
797,RSR 0.7,2.91,180,0.98,6.1,0.99,28.1,,10.22,2.25,33.2,0.1,393,222,0.93,,,,Wang,,
798,RSR 0.7,2.91,180,0.98,12.2,0.99,28.1,,10.21,2.25,33.2,0.1,393,209,1.03,,,,Wang,,
