,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
0,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,2,1.5,13.5,87,4.07,1.49,21.8,0.1055,411,302,0.67,2.7,10,0.64,Tsai,,
1,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1.5,13.1,91,3.98,1.47,21.6,0.102,410,286,0.8,6.4,45,1.51,Tsai,,
2,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1.5,12.1,98,3.7,1.42,20.8,0.1009,410,282,0.84,12.54,146,2.96,Tsai,,
3,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,18,1.5,11.7,108,3.6,1.4,20.6,0.1007,409,279,0.88,18.46,284,4.35,Tsai,,
4,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,1.5,11.3,124,3.52,1.39,20.3,0.0997,409,276,0.91,24.34,457,5.74,Tsai,,
5,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1.5,11,324,3.44,1.37,20.1,0.0974,408,268,0.99,35.79,891,8.44,Tsai,,
6,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,1,10.2,39,3.27,1.33,19.6,0.0951,408,273,0.66,2.6,11,0.61,Tsai,,
7,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1,10,41,3.21,1.32,19.4,0.0928,408,250,0.81,5.88,45,1.38,Tsai,,
8,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1,9.6,44,3.13,1.3,19.2,0.0928,407,242,0.87,11.53,141,2.72,Tsai,,
9,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,18,1,9.4,50,3.09,1.29,19.1,0.0927,407,239,0.89,17.24,278,4.06,Tsai,,
10,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,1,9.2,59,3.06,1.29,19,0.0922,407,234,0.93,22.81,447,5.38,Tsai,,
11,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1,9.1,131,3.03,1.28,18.9,0.0917,406,228,0.97,34.01,875,8.02,Tsai,,
12,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,1,9,334,3.01,1.27,18.8,0.0908,406,222,1.03,45.15,1412,10.64,Tsai,,
13,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,1,8.8,400,2.97,1.26,18.7,0.0895,406,216,1.08,56,2036,13.2,Tsai,,
14,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,0.6,8.3,16,2.87,1.24,18.4,0.0884,406,207,0.71,2.42,11,0.57,Tsai,,
15,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,0.6,8.2,18,2.86,1.24,18.4,0.0873,405,185,0.84,11.13,139,2.62,Tsai,,
16,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,0.6,7.9,23,2.8,1.23,18.2,0.0871,405,172,0.92,22.1,442,5.21,Tsai,,
17,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,0.6,7.8,43,2.77,1.22,18.1,0.0864,405,171,0.92,33.02,867,7.78,Tsai,,
18,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,0.6,7.7,181,2.75,1.21,18,0.0854,405,166,0.99,43.81,1397,10.33,Tsai,,
19,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,0.6,7.7,292,2.75,1.21,18,0.0836,405,162,1.02,54.54,2023,12.85,Tsai,,
20,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,1,31.9,36,12.86,2.46,36.6,0.1011,415,227,0.61,4.8,18,1.13,Tsai,,
21,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1,31.8,38,12.82,2.44,36.6,0.0981,417,201,0.75,9.21,55,2.17,Tsai,,
22,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1,31.5,40,12.61,2.41,36.3,0.0952,419,192,0.81,17.86,169,4.21,Tsai,,
23,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,1,31.6,49,12.69,2.41,36.4,0.0941,421,177,0.91,35.5,537,8.37,Tsai,,
24,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1,31.8,87,12.83,2.41,36.6,0.0923,422,170,0.97,53.09,1056,12.51,Tsai,,
25,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,1,31.8,252,12.86,2.41,36.6,0.0913,424,160,1.04,70.46,1694,16.61,Tsai,,
26,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,1,31.9,316,12.89,2.4,36.6,0.0899,426,157,1.08,87.87,2454,20.71,Tsai,,
27,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,73,1,32,392,13.01,2.41,36.8,0.089,428,152,1.12,105.67,3331,24.91,Tsai,,
28,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,0.6,32.8,234,13.63,2.44,37.5,0.0853,428,100,0.95,88.79,2477,20.93,Tsai,,
29,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,0.6,33,173,13.77,2.44,37.6,0.0838,423,104,0.93,70.99,1707,16.73,Tsai,,
30,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,0.6,33,52,13.78,2.43,37.7,0.0821,418,109,0.9,53.25,1059,12.55,Tsai,,
31,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,0.6,33,22,13.84,2.43,37.7,0.0805,413,110,0.89,35.43,538,8.35,Tsai,,
32,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,0.6,33.2,16,14.01,2.43,37.9,0.0776,407,122,0.81,17.71,170,4.17,Tsai,,
33,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,0.6,33.3,15,14.1,2.42,38,0.0759,402,135,0.75,8.94,55,2.11,Tsai,,
34,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,0.6,33.4,14,14.19,2.42,38.1,0.0745,397,158,0.64,4.13,15,0.97,Tsai,,
35,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,1.5,33.7,76,14.36,2.43,38.3,0.0731,397,278,0.63,4.18,15,0.99,Tsai,,
36,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1.5,33.6,80,14.29,2.42,38.2,0.0717,399,263,0.74,8.82,54,2.08,Tsai,,
37,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1.5,33.2,87,14.02,2.4,37.9,0.0716,401,254,0.81,17.04,167,4.02,Tsai,,
38,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,1.5,32.9,105,13.76,2.37,37.6,0.0711,404,246,0.89,33.67,528,7.94,Tsai,,
39,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1.5,32.8,296,13.69,2.36,37.5,0.069,406,232,1.02,50.13,1037,11.82,Tsai,,
40,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,1.5,32.7,362,13.57,2.35,37.3,0.0682,408,230,1.06,66.68,1674,15.72,Tsai,,
41,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,1.5,32.5,433,13.48,2.33,37.2,0.0663,410,228,1.11,83.02,2425,19.57,Tsai,,
42,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,1,30.6,36,11.93,2.38,35.5,0.1003,414,206,0.73,3.99,32,0.94,Tsai,,
43,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1,30.6,39,11.95,2.36,35.5,0.096,414,183,0.87,8.87,122,2.09,Tsai,,
44,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1,30.5,48,11.87,2.34,35.4,0.0947,414,170,0.95,17.3,380,4.08,Tsai,,
45,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,1,30.5,54,11.85,2.34,35.3,0.0936,410,166,0.98,34.56,1210,8.15,Tsai,,
46,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1,30.6,143,11.99,2.34,35.5,0.0913,410,163,1,51.65,2378,12.17,Tsai,,
47,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,1,31,395,12.26,2.35,35.8,0.0896,411,154,1.08,68.81,3836,16.22,Tsai,,
48,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,1,31.3,555,12.44,2.35,36.1,0.0876,411,149,1.13,86.2,5575,20.32,Tsai,,
