,Unnamed: 0,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
0,0,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.011080332,0.489473684,0.210144928,0.099502488,0.10443038,0.53030303,0.006397306,0.782934132,0.454049136,0.83974359,0.226890756,0.012464837,0.000378233,0.01255144,Tsai,,
1,1,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.489473684,0.195652174,0.104477612,0.097310127,0.522727273,0.006060606,0.730538922,0.444949955,0.788461538,0.336134454,0.030410321,0.002033001,0.030452675,Tsai,,
2,2,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.489473684,0.15942029,0.11318408,0.075158228,0.503787879,0.004713805,0.714071856,0.444949955,0.775641026,0.369747899,0.060190125,0.006808189,0.060288066,Tsai,,
3,3,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.232686981,0.489473684,0.144927536,0.125621891,0.067246835,0.496212121,0.004377104,0.711077844,0.435850773,0.766025641,0.403361345,0.0889029,0.013332703,0.088888889,Tsai,,
4,4,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.489473684,0.130434783,0.145522388,0.060917722,0.492424242,0.003872054,0.696107784,0.435850773,0.756410256,0.428571429,0.11742167,0.021511985,0.117489712,Tsai,,
5,5,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.489473684,0.119565217,0.394278607,0.054588608,0.484848485,0.003535354,0.661676647,0.426751592,0.730769231,0.495798319,0.17295567,0.04203111,0.173045267,Tsai,,
6,6,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.226315789,0.09057971,0.039800995,0.041139241,0.46969697,0.002693603,0.627245509,0.426751592,0.746794872,0.218487395,0.011979823,0.000425512,0.011934156,Tsai,,
7,7,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.226315789,0.083333333,0.042288557,0.036392405,0.465909091,0.002356902,0.592814371,0.426751592,0.673076923,0.344537815,0.027888253,0.002033001,0.027777778,Tsai,,
8,8,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.226315789,0.06884058,0.0460199,0.030063291,0.458333333,0.002020202,0.592814371,0.417652411,0.647435897,0.394957983,0.055291493,0.006571793,0.055349794,Tsai,,
9,9,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.232686981,0.226315789,0.061594203,0.053482587,0.026898734,0.454545455,0.001851852,0.591317365,0.417652411,0.637820513,0.411764706,0.082985741,0.013049028,0.082921811,Tsai,,
