,Unnamed: 0,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
0,0,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.011080332409972301,0.375,0.21014492753623187,0.09950248756218905,0.10443037974683547,0.5303030303030303,0.006397306397306398,0.782934131736527,0.4540491355777978,0.8397435897435898,0.3337875005322368,0.012464836550586866,0.00037823270767339606,0.012551440329218106,Tsai,,
1,1,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.0664819944598338,0.375,0.19565217391304346,0.1044776119402985,0.09731012658227847,0.5227272727272727,0.0060606060606060615,0.7305389221556886,0.4449499545040947,0.7884615384615384,0.42792622328311636,0.030410321078669124,0.0020330008037445038,0.030452674897119343,Tsai,,
2,2,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.14958448753462603,0.375,0.15942028985507245,0.11318407960199005,0.0751582278481013,0.5037878787878788,0.004713804713804715,0.7140718562874253,0.4449499545040947,0.7756410256410257,0.4568919841295408,0.0601901251333786,0.006808188738121129,0.0602880658436214,Tsai,,
3,3,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.23268698060941828,0.375,0.14492753623188404,0.1256218905472637,0.06724683544303797,0.4962121212121212,0.004377104377104379,0.7110778443113772,0.43585077343039114,0.766025641025641,0.48585774497596534,0.08890290037831021,0.013332702945487211,0.08888888888888888,Tsai,,
4,4,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.3157894736842105,0.375,0.13043478260869568,0.1455223880597015,0.06091772151898736,0.49242424242424243,0.0038720538720538773,0.6961077844311379,0.43585077343039114,0.7564102564102564,0.5075820656107837,0.11742167038510039,0.0215119852489244,0.11748971193415637,Tsai,,
5,5,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.49584487534626037,0.375,0.11956521739130432,0.39427860696517414,0.054588607594936694,0.48484848484848486,0.0035353535353535408,0.6616766467065869,0.4267515923566876,0.7307692307692307,0.5655135873036327,0.1729556698030847,0.042031109640206135,0.17304526748971194,Tsai,,
6,6,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.024930747922437674,0.25,0.0905797101449275,0.03980099502487562,0.04113924050632914,0.4696969696969697,0.002693602693602696,0.6272455089820361,0.4267515923566876,0.7467948717948718,0.3265460603206307,0.01197982345523329,0.0004255117961325705,0.011934156378600822,Tsai,,
7,7,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.0664819944598338,0.25,0.08333333333333331,0.04228855721393034,0.03639240506329114,0.46590909090909094,0.0023569023569023524,0.5928143712574849,0.4267515923566876,0.673076923076923,0.43516766349472247,0.027888252982830534,0.0020330008037445038,0.027777777777777776,Tsai,,
8,8,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.14958448753462603,0.25,0.0688405797101449,0.046019900497512436,0.0300632911392405,0.45833333333333337,0.002020202020202023,0.5928143712574849,0.41765241128298447,0.6474358974358975,0.47861630476435923,0.0552914928703075,0.006571793295825257,0.05534979423868313,Tsai,,
9,9,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.23268698060941828,0.25,0.06159420289855072,0.053482587064676616,0.026898734177215194,0.4545454545454546,0.001851851851851858,0.5913173652694612,0.41765241128298447,0.6378205128205128,0.49309918518757145,0.0829857406149966,0.013049028414732164,0.08292181069958847,Tsai,,
